TAIR ENTREZID
AT1G07420 837254
AT1G07430 837255
AT1G07440 837256
AT1G07450 837257
AT1G07460 837258
AT1G07470 837259
AT1G07473 837260
AT1G07476 837261
AT1G07480 837262
AT1G07485 5007669
AT1G07490 837263
AT1G07510 837265
AT1G07500 837264
AT1G07520 837266
AT1G07530 837267
AT1G07540 837268
AT1G07550 837269
AT1G07560 837270
AT1G07570 837271
AT1G07590 837272
AT1G07600 837273
AT1G07610 837274
AT1G07615 5007670
AT1G07620 837275
AT1G07630 837276
AT1G07640 837277
AT1G07650 837278
AT1G07645 2745745
AT1G07660 837279
AT1G07670 837280
AT1G07680 837281
AT1G07690 837282
AT1G07700 837283
AT1G07705 837284
AT1G07710 837285
AT1G07720 837286
AT1G07725 837287
AT1G07740 837288
AT1G07730 2745746
AT1G07745 837289
AT1G07747 5007672
AT1G07750 837290
AT1G07770 837291
AT1G07780 837292
AT1G07790 837293
AT1G07795 837294
AT1G07810 837296
AT1G07820 837297
AT1G07830 837298
AT1G07840 837299
AT1G07850 837300
AT1G07870 837302
AT1G07860 837301
AT1G07880 837303
AT1G07885 7922436
AT1G07890 837304
AT1G07900 837305
AT1G07902 NA
AT1G07901 6240572
AT1G07910 837306
AT1G07920 837307
AT1G07930 837308
AT1G07940 837309
AT1G07950 837310
AT1G07960 837311
AT1G07970 837312
AT1G07980 837313
AT1G07985 2745747
AT1G07990 837314
AT1G08000 837315
AT1G08005 28716759
AT1G08010 837316
AT1G08030 837318
AT1G08035 837319
AT1G08040 837320
AT1G08050 837321
AT1G08060 837322
AT1G08065 837324
AT1G08070 837325
AT1G08080 837326
AT1G08090 837327
AT1G08100 837328
AT1G08110 837330
AT1G08120 837331
AT1G08125 2745748
AT1G08130 837333
AT1G08135 837334
AT1G08140 837335
AT1G08150 837336
AT1G08160 837337
AT1G08165 6241460
AT1G08170 837338
AT1G08180 837339
AT1G08190 837340
AT1G08200 837341
AT1G08210 837342
AT1G08220 837343
AT1G08230 837344
AT1G08250 837345
AT1G08260 837346
AT1G08270 837347
AT1G08280 837348
AT1G08290 837349
AT1G08300 837350
AT1G08310 837351
AT1G08315 837352
AT1G08320 837353
AT1G08340 837354
AT1G08350 837355
AT1G08360 837356
AT1G08370 837357
AT1G08380 837358
AT1G08390 837359
AT1G08400 837360
AT1G08410 837361
AT1G08420 837362
AT1G08430 837363
AT1G08440 837364
AT1G08450 837365
AT1G08460 837366
AT1G08465 3766682
AT1G08470 837368
AT1G08480 837369
AT1G08490 837370
AT1G08500 837371
AT1G08510 837372
AT1G08520 837374
AT1G08530 837375
AT1G08540 837376
AT1G08550 837377
AT1G08560 837378
AT1G08570 837379
AT1G08580 837380
AT1G08590 837381
AT1G08600 837382
AT1G08610 837383
AT1G08620 837384
AT1G08630 837385
AT1G08640 837386
AT1G08645 NA
AT1G08650 837387
AT1G08660 837388
AT1G08670 837389
AT1G08680 837390
AT1G08695 3766683
AT1G08700 837391
AT1G08710 837392
AT1G08720 837393
AT1G08730 837394
AT1G08750 837397
AT1G08760 837398
AT1G08770 837399
AT1G08780 837400
AT1G08790 837401
AT1G08800 837402
AT1G08810 837403
AT1G08820 837404
AT1G08830 837405
AT1G08840 837406
AT1G08845 837407
AT1G08860 837408
AT1G08880 837409
AT1G08890 837410
AT1G08900 837411
AT1G08910 837412
AT1G08920 837413
AT1G08930 837414
AT1G08940 837415
AT1G08960 837416
AT1G08970 837417
AT1G08980 837418
AT1G08985 837419
AT1G08990 837420
AT1G09000 837421
AT1G09010 837422
AT1G09020 837423
AT1G09030 837424
AT1G09040 837425
AT1G09050 837426
AT1G09060 837427
AT1G09070 837428
AT1G09080 837429
AT1G09090 837430
AT1G09100 837431
AT1G09130 837432
AT1G09140 837433
AT1G09150 837434
AT1G09155 837435
AT1G09157 3766688
AT1G09160 837436
AT1G09170 837437
AT1G09176 6240938
AT1G09180 837438
AT1G09190 837439
AT1G09195 6241311
AT1G09200 837440
AT1G09210 837441
AT1G09220 837442
AT1G09230 837443
AT1G09240 837444
AT1G09245 837445
AT1G09250 837446
AT1G09260 837447
AT1G09270 837448
AT1G09280 837449
AT1G09290 837450
AT1G09300 837451
AT1G09310 837452
AT1G09320 837453
AT1G09330 837454
AT1G09340 837455
AT1G09350 837457
AT1G09360 837458
AT1G09370 837459
AT1G09380 837460
AT1G09390 837461
AT1G09400 837462
AT1G09410 837463
AT1G09415 837464
AT1G09420 837465
AT1G09430 837466
AT1G09440 837467
AT1G09450 837468
AT1G09460 837469
AT1G09470 837470
AT1G09480 837471
AT1G09483 837472
AT1G09490 837474
AT1G09500 837475
AT1G09510 837476
AT1G09520 837478
AT1G09530 837479
AT1G09540 837480
AT1G09550 837481
AT1G09560 837482
AT1G09570 837483
AT1G09575 837484
AT1G09580 837485
AT1G09590 837486
AT1G09600 837487
AT1G09610 837488
AT1G09620 837489
AT1G09625 5007674
AT1G09630 837490
AT1G09640 837491
AT1G09645 837492
AT1G09650 837493
AT1G09660 837494
AT1G09665 837495
AT1G09680 837496
AT1G09690 837497
AT1G09700 837498
AT1G09710 837499
AT1G09720 837500
AT1G09730 837501
AT1G09740 837502
AT1G09750 837504
AT1G09760 837505
AT1G09770 837506
AT1G09780 837507
AT1G09790 837508
AT1G09794 10723123
AT1G09795 837509
AT1G09800 837510
AT1G09810 837511
AT1G09812 837512
AT1G09815 837513
AT1G09820 837514
AT1G09830 837515
AT1G09840 837516
AT1G09850 837517
AT1G09860 837518
AT1G09870 837519
AT1G09880 837520
AT1G09890 837521
AT1G09900 837522
AT1G09910 837523
AT1G09920 837524
AT1G09930 837525
AT1G09932 837526
AT1G09935 837527
AT1G09940 837528
AT1G09950 837529
AT1G09960 837530
AT1G09970 837531
AT1G09980 837532
AT1G09995 837534
AT1G10000 837535
AT1G10010 837536
AT1G10020 837537
AT1G10030 837538
AT1G10040 837539
AT1G10050 837540
AT1G10060 837542
AT1G10070 837543
AT1G10090 837544
AT1G10095 837545
AT1G10100 837546
AT1G10110 837548
AT1G10120 837549
AT1G10130 837550
AT1G10140 837551
AT1G10150 837552
AT1G10155 837553
AT1G10170 837555
AT1G10180 837556
AT1G10190 837557
AT1G10200 837558
AT1G10210 837559
AT1G10220 28717228
AT1G10225 NA
AT1G10230 837562
AT1G10240 837563
AT1G10250 837564
AT1G10270 837566
AT1G10280 837567
AT1G10290 837568
AT1G10300 837569
AT1G10310 837570
AT1G10320 837571
AT1G10330 837572
AT1G10340 837573
AT1G10350 837574
AT1G10360 837575
AT1G10370 837576
AT1G10380 837577
AT1G10385 837578
AT1G10390 837579
AT1G10395 NA
AT1G10400 837580
AT1G10410 837581
AT1G10417 3766692
AT1G10430 837583
AT1G10450 837584
AT1G10455 837585
AT1G10460 837586
AT1G10470 837587
AT1G10480 837588
AT1G10490 837589
AT1G10500 837590
AT1G10510 837591
AT1G10520 837592
AT1G10522 837593
AT1G10530 837594
AT1G10540 837595
AT1G10550 837596
AT1G10560 837597
AT1G10570 837598
AT1G10580 837599
AT1G10585 837600
AT1G10586 6240488
AT1G10588 5007675
AT1G10590 837601
AT1G10600 837603
AT1G10610 837604
AT1G10620 837605
AT1G10630 837606
AT1G10640 837607
AT1G10650 837608
AT1G10657 5007676
AT1G10660 837609
AT1G10670 837610
AT1G10680 837611
AT1G10690 837612
AT1G10700 837613
AT1G10710 837614
AT1G10715 NA
AT1G10717 5007678
AT1G10720 837615
AT1G10730 837616
AT1G10740 837617
AT1G10745 5007679
AT1G10747 5007680
AT1G10750 837618
AT1G10760 837619
AT1G10770 837620
AT1G10780 837621
AT1G10790 837622
AT1G10800 837623
AT1G10810 837624
AT1G10820 837625
AT1G10830 837626
AT1G10840 837627
AT1G10850 3766694
AT1G10865 5007681
AT1G10870 837629
AT1G10875 NA
AT1G10880 28717231
AT1G10890 837632
AT1G10900 837633
AT1G10910 837634
AT1G10920 837635
AT1G10930 837636
AT1G10940 837637
AT1G10950 837638
AT1G10960 837639
AT1G10970 837640
AT1G10980 837641
AT1G10990 837642
AT1G11000 837643
AT1G11020 837644
AT1G11040 837645
AT1G11050 837646
AT1G11060 837647
AT1G11070 837648
AT1G11080 837649
AT1G11090 837650
AT1G11100 837651
AT1G11110 837652
AT1G11112 6240255
AT1G11120 837653
AT1G11125 10723097
AT1G11130 837654
AT1G11145 837655
AT1G11160 837657
AT1G11170 837658
AT1G11180 837659
AT1G11190 837660
AT1G11200 837661
AT1G11210 837662
AT1G11220 837663
AT1G11230 837664
AT1G11240 837665
AT1G11250 837666
AT1G11260 837667
AT1G11270 837669
AT1G11280 837670
AT1G11290 837671
AT1G11300 837672
AT1G11303 NA
AT1G11310 837673
AT1G11320 837674
AT1G11330 837675
AT1G11340 837676
AT1G11350 837677
AT1G11360 837678
AT1G11362 6240451
AT1G11370 837679
AT1G11380 837680
AT1G11390 837681
AT1G11400 837682
AT1G11410 837683
AT1G11420 837684
AT1G11430 837685
AT1G11440 837686
AT1G11450 837687
AT1G11460 837688
AT1G11470 837689
AT1G11475 837690
AT1G11480 837691
AT1G11490 837692
AT1G11500 837693
AT1G11510 837694
AT1G11520 837695
AT1G11530 837696
AT1G11540 837697
AT1G11545 837698
AT1G11560 837699
AT1G11570 837700
AT1G11572 5007683
AT1G11580 837701
AT1G11590 837702
AT1G11591 NA
AT1G11593 7922417
AT1G11600 837704
AT1G11608 6240907
AT1G11610 837705
AT1G11620 837706
AT1G11630 837707
AT1G11650 837708
AT1G11655 837709
AT1G11660 837710
AT1G11670 837711
AT1G11680 837712
AT1G11684 6241013
AT1G11690 837713
AT1G11700 837714
AT1G11710 837715
AT1G11720 837716
AT1G11730 837717
AT1G11740 837718
AT1G11750 837719
AT1G11755 5007686
AT1G11760 837720
AT1G11765 837721
AT1G11770 837722
AT1G11780 837723
AT1G11785 5007687
AT1G11790 837725
AT1G11800 837726
AT1G11810 837729
AT1G11820 837730
AT1G11840 837731
AT1G11850 837732
AT1G11860 837733
AT1G11870 837734
AT1G11880 837736
AT1G11890 837737
AT1G11900 837738
AT1G11905 837739
AT1G11910 837740
AT1G11915 837741
AT1G11920 837742
AT1G11925 837743
AT1G11930 837744
AT1G11940 837746
AT1G11950 837747
AT1G11960 837748
AT1G11970 837749
AT1G11980 837750
AT1G11990 837751
AT1G12000 837752
AT1G12010 837753
AT1G12020 28717234
AT1G12030 837755
AT1G12040 837756
AT1G12050 837757
AT1G12060 837758
AT1G12064 3766707
AT1G12070 837759
AT1G12080 837760
AT1G12090 837761
AT1G12100 837762
AT1G12110 837763
AT1G12120 837764
AT1G12130 837765
AT1G12140 837766
AT1G12150 837767
AT1G12160 837768
AT1G12170 837770
AT1G12180 837771
AT1G12190 837772
AT1G12200 837773
AT1G12210 837774
AT1G12211 6241068
AT1G12220 837775
AT1G12230 837776
AT1G12240 837777
AT1G12244 3766708
AT1G12250 837778
AT1G12260 837780
AT1G12270 837781
AT1G12280 837782
AT1G12290 837783
AT1G12300 837784
AT1G12320 837786
AT1G12310 837785
AT1G12330 837787
AT1G12340 837788
AT1G12350 837789
AT1G12360 837791
AT1G12370 837792
AT1G12380 837793
AT1G12390 837794
AT1G12400 837795
AT1G12410 837797
AT1G12411 6240455
AT1G12420 837798
AT1G12430 837799
AT1G12440 837801
AT1G12450 837802
AT1G12460 837803
AT1G12470 837804
AT1G12480 837805
AT1G12490 837806
AT1G12500 837807
AT1G12520 837808
AT1G12530 837809
AT1G12540 837810
AT1G12550 837811
AT1G12560 837813
AT1G12570 837814
AT1G12580 837815
AT1G12600 837816
AT1G12610 837817
AT1G12615 NA
AT1G12620 837818
AT1G12630 837819
AT1G12640 837820
AT1G12650 837821
AT1G12660 837822
AT1G12663 5007688
AT1G12665 5007689
AT1G12672 5007692
AT1G12680 837824
AT1G12700 837825
AT1G12710 837826
AT1G12730 837829
AT1G12740 837830
AT1G12750 837831
AT1G12760 837832
AT1G12770 837833
AT1G12775 3766712
AT1G12780 837834
AT1G12790 837835
AT1G12800 837836
AT1G12805 2745749
AT1G12810 837837
AT1G12820 837838
AT1G12840 837840
AT1G12830 837839
AT1G12845 837841
AT1G12850 837842
AT1G12855 10723026
AT1G12860 837843
AT1G12870 837844
AT1G12880 837845
AT1G12890 837847
AT1G12900 837848
AT1G12910 837849
AT1G12920 837850
AT1G12930 837851
AT1G12940 837852
AT1G12950 837853
AT1G12960 837854
AT1G12970 837855
AT1G12980 837856
AT1G12990 837857
AT1G13000 837858
AT1G13020 837859
AT1G13030 837860
AT1G13040 837861
AT1G13050 837862
AT1G13060 837863
AT1G13080 837865
AT1G13090 837866
AT1G13100 837867
AT1G13110 837868
AT1G13120 837869
AT1G13130 837870
AT1G13140 837871
AT1G13143 NA
AT1G13150 837873
AT1G13160 837874
AT1G13170 837875
AT1G13180 837876
AT1G13190 837877
AT1G13195 837878
AT1G13200 837880
AT1G13210 837881
AT1G13220 837882
AT1G13230 837883
AT1G13245 837884
AT1G13250 837885
AT1G13260 837886
